G1,G2,G3,G4,G5,G6,Key,Rounds,Effect distance,description,page,short_description,glyph_list,glyph_count,Spell Glyphs
Xama,Evu,,,,,1,12R,self,"Enables the caster to use all attack skills at +5%. It will also add +1 to AG in terms of combat ranking and characteristic struggles, it will not add to skills based on AG This spell will not increase parry or dodge skills nor may it be used in conjunction with other attack skill magics.",23,Enables the caster to use all attack skills at +5%.,Xama|Evu,2,Xama + Evu
Xama,Sen,,,,,1,12R,self,"Reduces the skill chance of any attacks made against the caster by 5%. This can include missile attacks aimed at the caster. The spell will also reduce the attacker’s AG by 1 point in terms of combat ranking and characteristic struggles against the caster. This will not reduce the attacker’s parry or dodge skills, nor will it affect their other AG based skills. The spell cannot be used in conjunction with other attack skill magics. c",23,Reduces the skill chance of any attacks made against the caster by 5%. This can include missile attacks aimed at the caster.,Xama|Sen,2,Xama + Sen
Xama,Cya,,,,,2,12R,self,"Creates a glowing silvery weapon around the caster’s hand. The weapon can be used either like a dagger or a punch attack depending on how the hand is held when attacking. In either case it will cause 1D4+1 damage on a successful hit. The caster will not take damage to their hand or feel pain when hitting armour or if the weapon is parried. Xama Chom \ attack stasis 2 12R 20Sd Reduces the skill chance of any attacks, including missile attacks, made against the caster by -10%. The spell will also reduce the attacker’s AG by 2 points in terms of combat ranking and characteristic struggles against the caster. This will not reduce the attacker’s parry or dodge skills, nor will it affect their other AG based skills. The spell cannot be used in conjunction with other attack skill magics.",23,Creates a glowing silvery weapon around the caster’s hand. The weapon can be used either like a dagger or a punch attack depending on how the hand is held when attacking.,Xama|Cya,2,Xama + Cya
Xama,Shass,,,,,2,V 1,self,"Gives the caster a sense of forewarning of any imminent or surprise attacks. This will allow the caster a chance to react. Perhaps draw a weapon, warn their companions or to dodge the attack when it happens.",23,Gives the caster a sense of forewarning of any imminent or surprise attacks. This will allow the caster a chance to react.,Xama|Shass,2,Xama + Shass
Xama,Eyama,,,,,2,12R,20Sd,Brings a dropped or discarded weapon to the caster’s hand. The caster merely has to gesture to the weapon required. This may also cover arrows if within range (provided they are not stuck in something or someone).,24,Brings a dropped or discarded weapon to the caster’s hand. The caster merely has to gesture to the weapon required.,Xama|Eyama,2,Xama + Eyama
Xama,Tira,,,,,2,12R,self,Gives the caster +10% on any of their missile weapon skill chances. The combination will also increase the caster’s DFT by +2 for the purposes of combat ranking and characteristic struggles. The spell cannot be used with other missile attack skill magics.,24,Gives the caster +10% on any of their missile weapon skill chances. The combination will also increase the caster’s DFT by +2 for the purposes of combat ranking and characteristic struggles.,Xama|Tira,2,Xama + Tira
Xama,Ekat,,,,,2,12R,self,"Allows the caster to fire or throw a missile weapon and almost immediately pull a fresh missile from its scabbard or quiver. This allows the caster the chance to fire more than once in a round. The caster may continue to automatically draw missiles whilst the spell is running. It should be noted that the spell does not draw the bow or aim the throw, nor will it crank a crossbow.",24,Allows the caster to fire or throw a missile weapon and almost immediately pull a fresh missile from its scabbard or quiver. This allows the caster the chance to fire more than once in a round.,Xama|Ekat,2,Xama + Ekat
Xama,Worav,,,,,2,12R,self,"Enables the caster to switch almost instantly between any weapons carried about their person. The fresh weapon jumping to their hand and the discarded weapon jumping back into its scabbard or normal place of storage. As a result there is hardly any pause preparing the new weapon, allowing it to be used straight away, even halfway through a round of combat.",24,Enables the caster to switch almost instantly between any weapons carried about their person.,Xama|Worav,2,Xama + Worav
Xama,Eja,,,,,2,12R,touch,"Gives the caster a missile-point-view of the missile touched at the time of casting. The caster simply needs to close their eyes whilst the spell is running to see the missile’s view, as it is fired or simply thrown.",24,Gives the caster a missile-point-view of the missile touched at the time of casting.,Xama|Eja,2,Xama + Eja
Xama,Hust,,,,,2,12R,touch,"Touching a missile such as an arrow or stone allows the caster to hear sounds in its proximity. If the missile is subsequently shot or thrown, the caster will continue to hear the sounds in the area it lands. The caster need only concentrate to filter out the sounds around them from the sounds sent from the spell.",24,Touching a missile such as an arrow or stone allows the caster to hear sounds in its proximity.,Xama|Hust,2,Xama + Hust
